"beta","gamma","pi","v","rho","ni0","ns0","R0","Health_mean","Health_q025","Health_q975","Social_mean","Social_q025","Social_q975","Total_mean","Total_q025","Total_q975","Peak_mean","Peak_q025","Peak_q975"
0.468126948932057,0.165732901840529,0.00606751244462467,28843.3978753391,0.00211741490785345,0.000827268650582388,0.999172731349418,2.82458669179941,8005.85018712862,6144.55999075766,9760.51641888437,1778.48941157789,1719.09553977686,1850.63993392544,9784.33959870651,7878.94284553841,11592.5251903418,67.8,35.8,130.55
0.409556575439685,0.121086090188877,0.00704779285352813,31680.3131918804,0.0016846233398291,0.000400484828276827,0.999599515171723,3.38235857480272,10926.8058218116,8080.6711722467,12222.3818981885,2865.58404113626,2793.22650258525,2899.56541289833,13792.3898629478,10931.2671450443,15104.0785866472,73.1,32.925,139.75
0.452931452289353,0.166549891727014,0.00911415519728173,31723.7744647796,0.00109293786347777,0.000513480803653824,0.999486519196346,2.71949412631104,13848.9090018976,10315.1179250212,16338.4556088252,2916.93009921372,2766.53867361612,3055.28546305815,16765.8391011113,13269.4069345686,19310.4864910225,67.5,44.9,104.825
0.452893796997386,0.126796055406536,0.00530422562108308,22424.8152835606,0.000808535362062756,0.000412654384442548,0.999587345615557,3.57182875717473,8879.91236598235,7587.23052247401,10607.9193384168,2083.3668142936,2047.42649818324,2112.3272609695,10963.279180276,9651.58846752838,12701.5811380626,57,34,93.725
0.400728059860907,0.147453146078025,0.00579195574875105,30073.551896567,0.00138763316969901,0.000606498179975339,0.999393501820025,2.7176636817831,9091.54612516565,5299.25406443625,11313.203800043,1815.41332369454,1684.1918975934,1954.11262767908,10906.9594488602,7004.84433900046,13194.2288286932,73.4,38.925,122.55
0.337701383946227,0.143003812554438,0.00875941038886225,37492.9497295328,0.00226203786725033,0.000527729265170601,0.999472270734829,2.36148517940857,9489.01224176896,6829.67677234395,11867.5409065409,1887.95072387611,1640.70043353973,2035.17866917014,11376.9629656451,8732.79872973426,13740.3451760274,102.6,44.925,169.275
0.48378142954558,0.152907515418916,0.00440418532088478,45550.1306126449,0.00162537252805879,0.000556628031939808,0.99944337196806,3.16388261374975,10437.3555652359,6696.57652413757,14302.1428279779,2539.65732236692,2436.49253423719,2633.6038341218,12977.0128876029,9182.97811752276,16899.6213068755,52.4,26.45,85.2
0.463525255298097,0.123662526445547,0.0063717872283137,34693.0317456374,0.00284364715612034,0.000654302665187132,0.999345697334813,3.74830814654434,10439.7196288366,9216.269625856,13454.8385942507,2787.84094724003,2704.49119213535,2862.81136873053,13227.5605760766,12020.8388620217,16224.1577068235,62.9,34.25,93.85
0.454097986043194,0.150270600953316,0.00203833015165596,31518.9146735063,0.00240934013465321,0.000696408055059513,0.99930359194494,3.02186843708882,4357.52155796034,2990.79540131121,5153.22510321476,829.72481112954,805.011564198623,846.485746614703,5187.24636908988,3816.59624453134,5965.70934062537,45.2,34,56.775
0.415694162262569,0.112865611434333,0.00468907041249372,43378.4489325608,0.00183044799332193,0.000638534313961873,0.999361465686038,3.68308962295772,10129.9069023639,8330.65954724792,13445.6031497371,2924.08273025807,2825.71541442978,2976.45887879922,13053.989632622,11269.2897946045,16347.5608148639,78.8,51.025,111.1
