t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
145.	0.639924	0.0121806	707481.	0.690155	0.389725	0.944895	316.753	353.506
146.	0.638286	0.0120852	711006.	0.691114	0.392501	0.945097	313.654	34.998
147.	0.63666	0.011991	714503.	0.692069	0.395263	0.945297	310.595	346.498
148.	0.635047	0.0118978	717973.	0.69302	0.398011	0.945496	307.574	343.062
149.	0.633446	0.0118057	721416.	0.693968	0.400744	0.945693	304.592	339.669
150.	0.631857	0.0117146	724833.	0.694912	0.403463	0.94589	301.646	336.319
151.	0.63028	0.0116246	728223.	0.695853	0.406168	0.946084	298.738	333.011
152.	0.628715	0.0115356	731587.	0.69679	0.408859	0.946278	295.866	329.744
153.	0.627161	0.0114475	734925.	0.697723	0.411536	0.94647	293.029	326.519
154.	0.625619	0.0113605	738238.	0.698653	0.414199	0.946661	290.228	323.334
155.	0.624088	0.0112744	741526.	0.699579	0.416849	0.94685	287.461	320.189
156.	0.622569	0.0111893	744789.	0.700502	0.419485	0.947038	284.728	317.082
157.	0.621061	0.0111051	748028.	0.701421	0.422108	0.947225	282.029	314.014
158.	0.619564	0.0110218	751242.	0.702337	0.424717	0.94741	279.363	310.984
159.	0.618077	0.0109394	754432.	0.703249	0.427313	0.947594	276.729	307.992
160.	0.616602	0.010858	757598.	0.704157	0.429896	0.947777	274.127	305.036
161.	0.615137	0.0107774	760741.	0.705063	0.432465	0.947958	271.557	302.116
162.	0.613683	0.0106977	763860.	0.705965	0.435022	0.948138	269.018	299.232
163.	0.612239	0.0106189	766956.	0.706863	0.437565	0.948316	26.651	296.383
164.	0.610805	0.0105409	770030.	0.707758	0.440096	0.948493	264.031	293.569
165.	0.609382	0.0104638	773081.	0.70865	0.442614	0.948669	261.582	290.788
166.	0.607969	0.0103875	776110.	0.709538	0.44512	0.948844	259.163	288.041
167.	0.606566	0.010312	779117.	0.710423	0.447613	0.949017	256.772	285.327
168.	0.605173	0.0102372	782101.	0.711305	0.450093	0.949189	254.409	282.645
169.	0.60379	0.0101633	785065.	0.712183	0.452561	0.949359	252.074	279.996
170.	0.602416	0.0100902	788007.	0.713058	0.455017	0.949529	249.767	277.378
171.	0.601052	0.0100178	790927.	0.71393	0.45746	0.949697	247.487	274.791
172.	0.599698	0.00994621	793827.	0.714798	0.459892	0.949863	245.234	272.235
173.	0.598353	0.00987535	796707.	0.715663	0.462311	0.950029	243.007	269.709
174.	0.597018	0.00980522	799565.	0.716525	0.464719	0.950193	240.805	267.212
175.	0.595691	0.00973581	802404.	0.717384	0.467114	0.950356	23.863	264.745
176.	0.594374	0.00966712	805222.	0.71824	0.469498	0.950518	236.479	262.307
177.	0.593066	0.00959913	808021.	0.719092	0.47187	0.950678	234.353	259.897
178.	0.591767	0.00953185	810800.	0.719941	0.474231	0.950837	232.252	257.515
179.	0.590476	0.00946524	813559.	0.720787	0.47658	0.950995	230.175	255.161
180.	0.589195	0.00939932	816299.	0.72163	0.478917	0.951152	228.121	252.834
181.	0.587922	0.00933406	819020.	0.72247	0.481244	0.951308	226.091	250.533
182.	0.586658	0.00926946	821723.	0.723307	0.483559	0.951462	224.084	24.826
183.	0.585402	0.00920551	824406.	0.724141	0.485863	0.951616	222.099	246.012
184.	0.584155	0.0091422	827071.	0.724971	0.488155	0.951768	220.137	24.379
185.	0.582916	0.00907952	829718.	0.725799	0.490437	0.951919	218.197	241.593
186.	0.581685	0.00901746	832347.	0.726623	0.492708	0.952069	216.278	239.421
187.	0.580463	0.00895603	834958.	0.727445	0.494968	0.952218	214.382	237.274
188.	0.579249	0.00889519	837551.	0.728263	0.497217	0.952365	212.506	23.515
189.	0.578042	0.00883496	840126.	0.729079	0.499455	0.952512	210.651	233.051
190.	0.576844	0.00877532	842684.	0.729891	0.501683	0.952657	208.817	230.976
191.	0.575654	0.00871626	845225.	0.730701	0.5039	0.952802	207.002	228.923
192.	0.574471	0.00865778	847749.	0.731508	0.506107	0.952945	205.208	226.894
193.	0.573297	0.00859986	850255.	0.732311	0.508303	0.953087	203.434	224.887
194.	0.57213	0.0085425	852745.	0.733112	0.510489	0.953229	201.679	222.902
195.	0.57097	0.0084857	855219.	0.73391	0.512665	0.953369	199.943	22.094
196.	0.569818	0.00842944	857676.	0.734705	0.514831	0.953508	198.226	218.998
197.	0.568674	0.00837373	860117.	0.735498	0.516986	0.953646	196.528	217.079
198.	0.567536	0.00831854	862541.	0.736287	0.519132	0.953783	194.848	21.518
199.	0.566407	0.00826388	864950.	0.737074	0.521267	0.95392	193.186	213.302
200.	0.565284	0.00820974	867343.	0.737857	0.523392	0.954055	191.542	211.445
201.	0.564169	0.00815611	869720.	0.738638	0.525508	0.954189	189.916	209.608
202.	0.563061	0.00810298	872082.	0.739416	0.527614	0.954322	188.307	207.791
203.	0.561959	0.00805035	874428.	0.740192	0.52971	0.954454	186.715	205.993
204.	0.560865	0.00799822	876759.	0.740964	0.531797	0.954586	185.141	204.215
205.	0.559778	0.00794657	879075.	0.741734	0.533874	0.954716	183.583	202.456
206.	0.558698	0.0078954	881377.	0.742501	0.535941	0.954845	182.041	200.716
207.	0.557624	0.00784471	883663.	0.743266	0.537999	0.954974	180.516	198.995
208.	0.556557	0.00779448	885935.	0.744028	0.540048	0.955101	179.007	197.292
209.	0.555497	0.00774472	888192.	0.744787	0.542087	0.955228	177.513	195.607
210.	0.554443	0.00769541	890435.	0.745543	0.544117	0.955354	176.035	19.394
211.	0.553396	0.00764655	892663.	0.746297	0.546138	0.955479	174.573	192.291
212.	0.552356	0.00759814	894877.	0.747048	0.54815	0.955603	173.126	190.659
213.	0.551322	0.00755017	897078.	0.747796	0.550152	0.955726	171.694	189.044
214.	0.550294	0.00750263	899264.	0.748542	0.552146	0.955848	170.277	187.447
215.	0.549273	0.00745552	901437.	0.749285	0.554131	0.95597	168.874	185.866
216.	0.548258	0.00740884	903596.	0.750026	0.556107	0.95609	167.486	184.301
217.	0.547249	0.00736257	905742.	0.750764	0.558074	0.95621	166.112	182.753
218.	0.546246	0.00731672	907874.	0.751499	0.560032	0.956329	164.752	181.221
219.	0.54525	0.00727128	909993.	0.752232	0.561981	0.956447	163.406	179.705
220.	0.544259	0.00722624	912099.	0.752962	0.563922	0.956564	162.074	178.205
221.	0.543275	0.00718159	914192.	0.75369	0.565854	0.956681	160.755	17.672
222.	0.542296	0.00713735	916272.	0.754415	0.567778	0.956796	15.945	175.251
223.	0.541324	0.00709349	918339.	0.755138	0.569693	0.956911	158.158	173.796
224.	0.540357	0.00705002	920393.	0.755859	0.5716	0.957025	156.879	172.357
225.	0.539396	0.00700692	922435.	0.756576	0.573498	0.957139	155.613	170.932
226.	0.538441	0.00696421	924465.	0.757292	0.575388	0.957251	154.359	169.522
227.	0.537491	0.00692186	926482.	0.758005	0.57727	0.957363	153.118	168.126
228.	0.536547	0.00687988	928486.	0.758715	0.579144	0.957474	15.189	166.744
229.	0.535609	0.00683827	930479.	0.759423	0.581009	0.957584	150.674	165.376
230.	0.534676	0.00679701	932460.	0.760129	0.582867	0.957694	149.469	164.023
231.	0.533749	0.00675611	934428.	0.760832	0.584716	0.957803	148.277	162.682
232.	0.532827	0.00671556	936385.	0.761532	0.586557	0.957911	147.097	161.356
233.	0.531911	0.00667535	938330.	0.762231	0.58839	0.958018	145.928	160.042
234.	0.531	0.00663549	940264.	0.762927	0.590216	0.958125	144.771	158.742
235.	0.530095	0.00659596	942186.	0.76362	0.592033	0.958231	143.625	157.454
236.	0.529194	0.00655677	944096.	0.764312	0.593843	0.958336	14.249	15.618
237.	0.528299	0.00651791	945996.	0.765001	0.595645	0.958441	141.366	154.918
2.374.977.348.814.570	0.527856	0.00649869	946937.	0.765343	0.596539	0.958493	140.811	154.295
2.384.977.348.814.570	0.526969	0.00646031	948819.	0.766028	0.598329	0.958596	139.704	153.052
2.394.977.348.814.570	0.526086	0.00642226	950690.	0.766711	0.600112	0.958699	138.607	151.821
2.404.977.348.814.570	0.525209	0.00638453	952551.	0.767392	0.601887	0.958801	137.521	150.602
2.414.977.348.814.570	0.524337	0.00634711	954400.	0.76807	0.603654	0.958903	136.446	149.395
2.424.977.348.814.570	0.52347	0.00631	956238.	0.768747	0.605414	0.959004	135.381	14.82
2.434.977.348.814.570	0.522608	0.0062732	958066.	0.769421	0.607167	0.959104	134.326	147.017
2.444.977.348.814.570	0.521751	0.0062367	959883.	0.770092	0.608912	0.959204	133.281	145.845
2.454.977.348.814.570	0.520899	0.0062005	961690.	0.770762	0.61065	0.959303	132.247	144.685
2.464.977.348.814.570	0.520052	0.0061646	963486.	0.771429	0.612381	0.959401	131.222	143.536
2.474.977.348.814.570	0.519209	0.00612899	965272.	0.772094	0.614104	0.959499	130.207	142.398
2.484.977.348.814.570	0.518372	0.00609367	967047.	0.772757	0.61582	0.959596	129.201	141.272
2.494.977.348.814.570	0.517539	0.00605864	968812.	0.773417	0.617529	0.959692	128.205	140.156
2.504.977.348.814.570	0.51671	0.0060239	970568.	0.774075	0.61923	0.959788	127.219	13.905
2.514.977.348.814.570	0.515887	0.00598943	972313.	0.774732	0.620925	0.959884	126.242	137.956
2.524.977.348.814.570	0.515068	0.00595525	974048.	0.775385	0.622612	0.959978	125.274	136.872
2.534.977.348.814.570	0.514253	0.00592134	975773.	0.776037	0.624293	0.960072	124.315	135.798
