t	Ns	Ni	Dead_pi_0.0062	A	Rt
140.	0.0531125	0.00000256411	1925585.	1.	0.16464880213310404
141.	0.0531125	0.00000227579	1925586.	1.	0.1646486259644876
142.	0.0531124	0.00000202004	1925586.	1.	0.1646484696975991
143.	0.0531124	0.00000179283	1925587.	1.	0.1646483308674252
144.	0.0531123	0.0000015911	1925588.	1.	0.16464820760739768
145.	0.0531123	0.00000141219	1925588.	1.	0.16464809829511362
146.	0.0531123	0.00000125352	1925588.	1.	0.1646480013433304
147.	0.0531122	0.00000111286	1925589.	1.	0.1646479154009677
148.	0.0531122	0.000000988171	1925589.	1.	0.16464783921273604
149.	0.0531122	0.000000877389	1925589.	1.	0.16464777152357757
150.	0.0531122	0.000000779011	1925590.	1.	0.16464771141425022
151.	0.0531121	0.000000691929	1925590.	1.	0.16464765820598065
152.	0.0531121	0.000000614597	1925590.	1.	0.1646476109558043
153.	0.0531121	0.000000545476	1925590.	1.	0.16464756872224945
154.	0.0531121	0.000000483855	1925590.	1.	0.16464753107127478
155.	0.0531121	0.00000042929	1925590.	1.	0.16464749773126347
156.	0.0531121	0.000000380877	1925590.	1.	0.16464746815061126
157.	0.0531121	0.000000337722	1925591.	1.	0.16464744178286717
158.	0.0531121	0.00000029941	1925591.	1.	0.16464741837365346
159.	0.0531121	0.000000265552	1925591.	1.	0.16464739768646325
160.	0.0531121	0.000000235572	1925591.	1.	0.1646473793679934
161.	0.0531121	0.000000208878	1925591.	1.	0.16464736305814157
162.	0.053112	0.00000018481	1925591.	1.	0.16464734835223982
163.	0.053112	0.000000163218	1925591.	1.	0.16464733515968016
164.	0.053112	0.000000144104	1925591.	1.	0.16464732348046265
165.	0.053112	0.000000127466	1925591.	1.	0.1646473133145872
166.	0.053112	0.000000113199	1925591.	1.	0.16464730459713361
167.	0.053112	0.000000100471	1925591.	1.	0.16464729682049237
168.	0.053112	0.0000000891066	1925591.	1.	0.16464728987676036
169.	0.053112	0.0000000791053	1925591.	1.	0.1646472837659376
170.	0.053112	0.0000000704673	1925591.	1.	0.16464727848802407
171.	0.053112	0.0000000630566	1925591.	1.	0.16464727396001336
172.	0.053112	0.0000000563504	1925591.	1.	0.16464726986252332
173.	0.053112	0.0000000502972	1925591.	1.	0.16464726616397404
174.	0.053112	0.000000044897	1925591.	1.	0.16464726286436557
175.	0.053112	0.0000000401496	1925591.	1.	0.1646472599636979
176.	0.053112	0.0000000359614	1925591.	1.	0.16464725740468514
177.	0.053112	0.0000000321391	1925591.	1.	0.16464725506924605
178.	0.053112	0.0000000286769	1925591.	1.	0.16464725295380814
179.	0.053112	0.0000000255748	1925591.	1.	0.16464725105837139
180.	0.053112	0.0000000228327	1925591.	1.	0.1646472493829358
181.	0.053112	0.0000000203845	1925591.	1.	0.16464724788708793
182.	0.053112	0.0000000181592	1925591.	1.	0.16464724652741258
183.	0.053112	0.0000000161568	1925591.	1.	0.164647245303896
184.	0.053112	0.0000000143771	1925591.	1.	0.1646472442165381
185.	0.053112	0.0000000128192	1925591.	1.	0.16464724326460553
186.	0.053112	0.0000000114257	1925591.	1.	0.1646472424131691
187.	0.053112	0.0000000101652	1925591.	1.	0.16464724164303915
188.	0.053112	0.00000000903788	1925591.	1.	0.16464724095421565
189.	0.053112	0.0000000080436	1925591.	1.	0.16464724034669861
190.	0.053112	0.00000000717892	1925591.	1.	0.16464723981837595
191.	0.053112	0.00000000640174	1925591.	1.	0.16464723934351114
192.	0.053112	0.00000000569961	1925591.	1.	0.1646472389145049
193.	0.053112	0.00000000507253	1925591.	1.	0.1646472385313572
194.	0.053112	0.00000000452051	1925591.	1.	0.16464723819406804
195.	0.053112	0.00000000403897	1925591.	1.	0.16464723789984564
196.	0.053112	0.00000000360325	1925591.	1.	0.1646472376336192
197.	0.053112	0.00000000320967	1925591.	1.	0.1646472373931375
198.	0.053112	0.00000000285822	1925591.	1.	0.16464723717840057
199.	0.053112	0.00000000254891	1925591.	1.	0.16464723698940845
200.	0.053112	0.00000000227724	1925591.	1.	0.16464723682341426
730.	0.053112	0.00000000227724	1925591.	1.	0.16464723682341426
