Mathematica;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;185;0,582916;0,00907952;0,725799;-0,0462813;-63,1534;-194,622;;;;185;0,992084;0,000537427;0,578645;-0,125711;-167,646;-2812,77;;;;185;0,087227927;7,56155E-05;1;0;-143528,564;166547761,1;;;;185;0,992078719;0,00053805;0,57871084;-0,12566318;-167,6495424;-2809,311796
;;186;0,581685;0,00901746;0,726623;-0,0459704;-62,9536;-,195;;;;186;0,992005;0,000539702;0,578566;-0,125769;-167,641;-2802,83;;;;186;0,087225153;6,81311E-05;1;0;-149514,1447;192503057,7;;;;186;0,991999407;0,000540335;0,57863145;-0,125720983;-167,6437228;-2799,351914
;;187;0,580463;0,00895603;0,727445;-0,045662;-62,7546;-194,618;;;;187;0,991925;0,000541959;0,578488;-0,125826;-167,635;-2793,06;;;;187;0,087222654;6,13874E-05;1;0;-155747,3433;222503299,9;;;;187;0,991919788;0,000542601;0,578553087;-0,125778057;-167,6377949;-2789,549083
;;188;0,579249;0,00889519;0,728263;-0,0453559;-62,5563;-194,616;;;;188;0,991845;0,000544197;0,578411;-0,125882;-167,629;-2783,43;;;;188;0,087220402;5,53111E-05;1;0;-162238,4417;257178863,3;;;;188;0,991839864;0,000544849;0,578475744;-0,125834407;-167,6317597;-2779,900661
;;189;0,578042;0,00883496;0,729079;-0,0450522;-62,3588;-194,614;;;;189;0,991765;0,000546417;0,578334;-0,125937;-167,622;-2773,96;;;;189;0,087218373;4,98362E-05;1;0;-168998,1465;297258362,9;;;;189;0,991759639;0,000547079;0,578399415;-0,125890035;-167,6256182;-2770,40406
;;190;0,576844;0,00877532;0,729891;-0,0447509;-62,1621;-194,612;;;;190;0,991685;0,000548619;0,578259;-0,125992;-167,616;-2764,64;;;;190;0,087216545;4,49032E-05;1;0;-176037,6063;343583963,2;;;;190;0,991679116;0,00054929;0,578324092;-0,125944947;-167,6193713;-2761,056743
;;191;0,575654;0,00871626;0,730701;-0,0444519;-61,9661;-,195;;;;191;0,991604;0,000550802;0,578185;-0,126046;-,168;-2755,47;;;;191;0,087214898;4,04585E-05;1;0;-183368,4303;397129073,9;;;;191;0,991598296;0,000551483;0,578249769;-0,125999147;-167,6130202;-2751,856225
;;192;0,574471;0,00865778;0,731508;-0,0441552;-61,7709;-194,608;;;;192;0,991523;0,000552966;0,578112;-0,1261;-167,603;-2746,44;;;;192;0,087213414;3,64537E-05;1;0;-191002,7072;459018803,6;;;;192;0,991517183;0,000553657;0,578176439;-0,126052639;-167,6065658;-2742,800066
;;193;0,573297;0,00859986;0,732311;-0,0438608;-61,5764;-194,606;;;;193;0,991442;0,000555112;0,57804;-0,126152;-167,597;-2737,55;;;;193;0,087212077;3,28453E-05;1;0;-198953,0255;530553600,9;;;;193;0,991435779;0,000555813;0,578104095;-0,126105427;-167,6000091;-2733,885877
;;194;0,57213;0,0085425;0,733112;-0,0435687;-61,3827;-194,604;;;;194;0,99136;0,000557238;0,577969;-0,126204;-,168;-2728,8;;;;194;0,087210872;2,95941E-05;1;0;-207232,494;613236580;;;;194;0,991354087;0,00055795;0,578032731;-0,126157516;-167,5933512;-2725,111315
;;195;0,57097;0,0084857;0,73391;-0,0432788;-61,1897;-194,603;;;;195;0,991278;0,000559347;0,577898;-0,126256;-167,583;-2720,19;;;;195;0,087209787;2,66646E-05;1;0;-215854,7635;708805104,5;;;;195;0,99127211;0,000560069;0,577962339;-0,12620891;-167,5865929;-2716,474081
;;196;0,569818;0,00842944;0,734705;-0,0429911;-60,9975;-194,601;;;;196;0,991196;0,000561436;0,577829;-0,126306;-167,576;-2711,72;;;;196;0,087208809;2,40252E-05;1;0;-224834,0494;819267293,7;;;;196;0,99118985;0,000562169;0,577892913;-0,126259613;-167,5797353;-2707,971922
;;197;0,568674;0,00837373;0,735498;-0,0427056;-60,806;-194,599;;;;197;0,991114;0,000563507;0,577761;-0,126356;-167,569;-2703,38;;;;197;0,087207928;2,1647E-05;1;0;-234185,155;946944217,6;;;;197;0,99110731;0,00056425;0,577824446;-0,12630963;-167,5727793;-2699,602629
;;198;0,567536;0,00831854;0,736287;-0,0424223;-60,6152;-194,597;;;;198;0,991031;0,000565559;0,577693;-0,126406;-167,562;-2695,17;;;;198;0,087207134;1,95042E-05;1;0;-243923,4959;1094518669;;;;198;0,991024492;0,000566313;0,577756931;-0,126358965;-167,565726;-2691,364035
;;199;0,566407;0,00826388;0,737074;-0,0421411;-60,4251;-194,595;;;;199;0,990948;0,000567592;0,577627;-0,126454;-167,555;-2687,09;;;;199;0,087206419;1,75735E-05;1;0;-254065,1257;1265091532;;;;199;0,9909414;0,000568357;0,577690362;-0,126407622;-167,5585762;-2683,254014
;;200;0,565284;0,00820974;0,737857;-0,0418621;-60,2357;-194,593;;;;200;0,990865;0,000569607;0,577561;-0,126502;-167,548;-2679,14;;;;200;0,087205774;1,58339E-05;1;0;-264626,762;1462246945;;;;200;0,990858035;0,000570383;0,577624732;-0,126455606;-167,551331;-2675,27048
;;201;0,564169;0,00815611;0,738638;-0,0415852;-60,0471;-194,591;;;;201;0,990781;0,000571603;0,577497;-0,126549;-,168;-2671,31;;;;201;0,087205193;1,42666E-05;1;0;-275625,8146;1690127607;;;;201;0,990774401;0,00057239;0,577560034;-0,126502922;-167,5439913;-2667,411389
;;202;0,563061;0,00810298;0,739416;-0,0413105;-59,8592;-,195;;;;202;0,990698;0,00057358;0,577433;-0,126596;-167,533;-2663,6;;;;202;0,08720467;1,28543E-05;1;0;-287080,4133;1953521824;;;;202;0,990690501;0,000574378;0,577496261;-0,126549573;-167,536558;-2659,674734
;;203;0,561959;0,00805035;0,740192;-0,0410377;-59,672;-194,588;;;;203;0,990614;0,000575538;0,57737;-0,126642;-167,525;-2656,02;;;;203;0,087204199;1,15819E-05;1;0;-299009,4389;2257964129;;;;203;0,990606336;0,000576348;0,577433406;-0,126595564;-167,5290321;-2652,058547
;;204;0,560865;0,00799822;0,740964;-0,0407671;-59,4855;-194,586;;;;204;0,990529;0,000577478;0,577308;-0,126687;-167,518;-2648,55;;;;204;0,087203774;1,04354E-05;1;0;-311432,5533;2609851569;;;;204;0,99052191;0,000578299;0,577371463;-0,1266409;-167,5214145;-2644,560896
;;205;0,559778;0,00794657;0,741734;-0,0404985;-59,2997;-194,584;;;;205;0,990445;0,000579398;0,577247;-0,126732;-,168;-2641,2;;;;205;0,087203391;9,4024E-06;1;0;-324370,2326;3016578126;;;;205;0,990437225;0,000580232;0,577310425;-0,126685584;-167,5137061;-2637,179887
;;206;0,558698;0,0078954;0,742501;-0,0402319;-59,1146;-194,583;;;;206;0,99036;0,000581301;0,577187;-0,126776;-167,502;-2633,97;;;;206;0,087203046;8,47166E-06;1;0;-337843,8004;3486690082;;;;206;0,990352283;0,000582146;0,577250286;-0,126729622;-167,5059079;-2629,91366
;;207;0,557624;0,00784471;0,743266;-0,0399673;-58,9301;-194,581;;;;207;0,990275;0,000583184;0,577128;-0,126819;-167,494;-2626,85;;;;207;0,087202736;7,63305E-06;1;0;-351875,4632;4030065592;;;;207;0,990267088;0,000584042;0,577191038;-0,126773017;-167,4980208;-2622,76039
;;208;0,556557;0,00779448;0,744028;-0,0397048;-58,7464;-194,579;;;;208;0,990189;0,000585049;0,577069;-0,126862;-167,486;-2619,84;;;;208;0,087202456;6,87746E-06;1;0;-366488,3472;4658122252;;;;208;0,990181643;0,000585919;0,577132675;-0,126815775;-167,4900457;-2615,718286
;;209;0,555497;0,00774472;0,744787;-0,0394441;-58,5634;-194,577;;;;209;0,990104;0,000586895;0,577012;-0,126904;-167,478;-2612,94;;;;209;0,087202204;6,19666E-06;1;0;-381706,5359;5384057010;;;;209;0,990095949;0,000587777;0,577075191;-0,126857899;-167,4819834;-2608,785591
;;210;0,554443;0,00769541;0,745543;-0,0391855;-5,8381;-194,576;;;;210;0,990018;0,000588723;0,576955;-0,126946;-,167;-2606,15;;;;210;0,087201976;5,58325E-06;1;0;-397555,11;6223123459;;;;210;0,990010009;0,000589617;0,577018578;-0,126899394;-167,473835;-2601,960579
;;211;0,553396;0,00764655;0,746297;-0,0389287;-58,1994;-194,574;;;;211;0,989932;0,000590532;0,5769;-0,126987;-167,461;-2599,47;;;;211;0,087201772;5,03056E-06;1;0;-414060,189;7192952358;;;;211;0,989923826;0,000591439;0,576962831;-0,126940264;-167,4656012;-2595,241557
;;212;0,552356;0,00759814;0,747048;-0,0386739;-58,0184;-194,572;;;;212;0,989846;0,000592322;0,576845;-0,127027;-167,453;-2592,89;;;;212;0,087201587;4,53259E-06;1;0;-431248,9739;8313922089;;;;212;0,989837402;0,000593242;0,576907942;-0,126980514;-167,457283;-2588,626862
;;213;0,551322;0,00755017;0,747796;-0,038421;-57,838;-194,571;;;;213;0,989759;0,000594094;0,576791;-0,127067;-167,445;-2586,42;;;;213;0,087201421;4,0839E-06;1;0;-449149,7923;9609586861;;;;213;0,989750741;0,000595027;0,576853904;-0,127020148;-167,4488812;-2582,114863
;;214;0,550294;0,00750263;0,748542;-0,03817;-57,6584;-194,569;;;;214;0,989673;0,000595848;0,576737;-0,127106;-167,436;-2580,04;;;;214;0,087201271;3,67964E-06;1;0;-467792,1449;11107171635;;;;214;0,989663844;0,000596794;0,576800712;-0,127059171;-167,4403967;-2575,703956
;;215;0,549273;0,00745552;0,749285;-0,0379208;-57,4794;-194,567;;;;215;0,989586;0,000597583;0,576685;-0,127144;-167,427;-2573,77;;;;215;0,087201136;3,31539E-06;1;0;-487206,754;12838144185;;;;215;0,989576714;0,000598542;0,576748359;-0,127097586;-167,4318305;-2569,392569
;;216;0,548258;0,00740884;0,750026;-0,0376735;-57,3011;-194,566;;;;216;0,989498;0,000599299;0,576633;-0,127182;-167,419;-2567,59;;;;216;0,087201015;2,9872E-06;1;0;-507425,6145;14838876312;;;;216;0,989489354;0,000600272;0,576696838;-0,1271354;-167,4231833;-2563,179158
;;217;0,547249;0,00736257;0,750764;-0,037428;-57,1234;-194,564;;;;217;0,989411;0,000600998;0,576583;-0,127219;-,167;-2561,51;;;;217;0,087200905;2,69149E-06;1;0;-528482,0464;17151408097;;;;217;0,989401767;0,000601984;0,576646143;-0,127172614;-167,4144559;-2557,062204
;;218;0,546246;0,00731672;0,751499;-0,0371843;-56,9464;-194,563;;;;218;0,989323;0,000602678;0,576533;-0,127256;-167,401;-2555,53;;;;218;0,087200806;2,42506E-06;1;0;-550410,7497;19824331269;;;;218;0,989313954;0,000603678;0,576596267;-0,127209236;-167,4056494;-2551,040219
;;219;0,54525;0,00727128;0,752232;-0,0369425;-56,7701;-194,561;;;;219;0,989235;0,000604339;0,576483;-0,127292;-167,392;-2549,64;;;;219;0,087200717;2,185E-06;1;0;-573247,8614;22913810221;;;;219;0,989225919;0,000605353;0,576547203;-0,127245267;-167,3967644;-2545,111739
;;220;0,544259;0,00722624;0,752962;-0,0367024;-56,5943;-194,559;;;;220;0,989147;0,000605983;0,576435;-0,127328;-167,383;-2543,85;;;;220;0,087200637;1,96871E-06;1;0;-597031,0157;26484762166;;;;220;0,989137663;0,000607011;0,576498946;-0,127280714;-167,3878019;-2539,275327
;;221;0,543275;0,00718159;0,75369;-0,0364641;-56,4193;-194,558;;;;221;0,989059;0,000607608;0,576388;-0,127363;-167,374;-2538,14;;;;221;0,087200565;1,77382E-06;1;0;-621799,4052;30612221193;;;;221;0,989049191;0,000608651;0,576451489;-0,127315579;-167,3787627;-2533,529572
;;222;0,542296;0,00713735;0,754415;-0,0362275;-56,2449;-194,556;;;;222;0,98897;0,000609216;0,576341;-0,127397;-167,365;-2532,53;;;;222;0,0872005;1,59823E-06;1;0;-647593,8461;35382914916;;;;222;0,988960503;0,000610273;0,576404826;-0,127349869;-167,3696475;-2527,873088
;;223;0,541324;0,00709349;0,755138;-0,0359927;-56,0711;-194,555;;;;223;0,988882;0,000610805;0,576295;-0,127431;-167,356;-2527;;;;223;0,087200441;1,44002E-06;1;0;-674456,8451;40897086816;;;;223;0,988871602;0,000611877;0,576358949;-0,127383586;-167,3604573;-2522,304512
;;224;0,540357;0,00705002;0,755859;-0,0357596;-55,898;-194,553;;;;224;0,988793;0,000612376;0,576249;-0,127464;-167,346;-2521,56;;;;224;0,087200389;1,29747E-06;1;0;-702432,6695;47270602602;;;;224;0,988782491;0,000613463;0,576313853;-0,127416736;-167,3511928;-2516,822507
;;225;0,539396;0,00700692;0,756576;-0,0355282;-55,7254;-194,552;;;;225;0,988704;0,00061393;0,576205;-0,127497;-167,337;-2516,21;;;;225;0,087200341;1,16903E-06;1;0;-731567,4203;54637384815;;;;225;0,988693173;0,000615031;0,576269532;-0,127449322;-167,3418549;-2511,425757
;;226;0,538441;0,00696421;0,757292;-0,0352985;-55,5536;-,195;;;;226;0,988614;0,000615466;0,576161;-0,127529;-167,327;-2510,94;;;;226;0,087200298;1,05331E-06;1;0;-761909,1082;63152226857;;;;226;0,98860365;0,000616582;0,576225979;-0,12748135;-167,3324443;-2506,112972
;;227;0,537491;0,00692186;0,758005;-0,0350704;-55,3823;-194,549;;;;227;0,988525;0,000616984;0,576118;-0,127561;-167,318;-2505,75;;;;227;0,087200259;9,49042E-07;1;0;-793507,7323;72994045565;;;;227;0,988513924;0,000618115;0,576183188;-0,127512822;-167,3229618;-2500,882883
;;228;0,536547;0,00687988;0,758715;-0,0348441;-55,2117;-194,547;;;;228;0,988435;0,000618484;0,576076;-0,127592;-167,308;-2500,65;;;;228;0,087200225;8,55095E-07;1;0;-826415,3631;84369640673;;;;228;0,988423997;0,000619631;0,576141152;-0,127543745;-167,3134083;-2495,734241
;;229;0,535609;0,00683827;0,759423;-0,0346194;-55,0417;-194,546;;;;229;0,988345;0,000619966;0,576035;-0,127622;-167,298;-2495,63;;;;229;0,087200193;7,70449E-07;1;0;-860686,2278;97518040162;;;;229;0,988333873;0,000621129;0,576099866;-0,127574121;-167,3037844;-2490,665822
;;230;0,534676;0,00679701;0,760129;-0,0343963;-54,8723;-194,544;;;;230;0,988255;0,000621431;0,575994;-0,127652;-167,289;-2490,68;;;;230;0,087200165;6,94181E-07;1;0;-896376,7998;1,12716E+11;;;;230;0,988243553;0,00062261;0,576059324;-0,127603955;-167,2940911;-2485,67642
;;231;0,533749;0,00675611;0,760832;-0,0341748;-54,7035;-194,543;;;;231;0,988165;0,000622879;0,575954;-0,127682;-167,279;-2485,82;;;;231;0,08720014;6,25464E-07;1;0;-933545,8919;1,30281E+11;;;;231;0,988153041;0,000624074;0,576019518;-0,127633251;-167,2843291;-2480,764853
;;232;0,532827;0,00671556;0,761532;-0,033955;-54,5354;-194,541;;;;232;0,988074;0,000624309;0,575914;-0,127711;-167,269;-2481,03;;;;232;0,087200117;5,63548E-07;1;0;-972254,753;1,50585E+11;;;;232;0,988062337;0,00062552;0,575980444;-0,127662015;-167,2744991;-2475,929956
;;233;0,531911;0,00667535;0,762231;-0,0337367;-54,3678;-,195;;;;233;0,987983;0,000625722;0,575876;-0,127739;-167,259;-2476,32;;;;233;0,087200096;5,07762E-07;1;0;-1012567,169;1,74052E+11;;;;233;0,987971446;0,00062695;0,575942094;-0,127690249;-167,2646019;-2471,170586
;;234;0,531;0,00663549;0,762927;-0,03352;-54,2009;-194,538;;;;234;0,987892;0,000627117;0,575838;-0,127767;-167,249;-2471,68;;;;234;0,087200077;4,57498E-07;1;0;-1054549,569;2,01177E+11;;;;234;0,987880368;0,000628362;0,575904463;-0,127717958;-167,2546382;-2466,485618
;;235;0,530095;0,00659596;0,76362;-0,0333049;-54,0346;-194,537;;;;235;0,987801;0,000628496;0,575801;-0,127794;-167,239;-2467,12;;;;235;0,087200061;4,1221E-07;1;0;-1098271,132;2,32529E+11;;;;235;0,987789107;0,000629757;0,575867545;-0,127745146;-167,2446089;-2461,873948
;;236;0,529194;0,00655677;0,764312;-0,0330913;-53,8688;-194,536;;;;236;0,98771;0,000629857;0,575764;-0,127821;-167,229;-2462,63;;;;236;0,087200045;3,71405E-07;1;0;-1143803,904;2,68767E+11;;;;236;0,987697665;0,000631135;0,575831334;-0,127771818;-167,2345146;-2457,334487
;;237;0,528299;0,00651791;0,765001;-0,0328793;-53,7037;-194,534;;;;237;0,987619;0,000631201;0,575728;-0,127848;-167,218;-2458,22;;;;237;0,087200032;3,34639E-07;1;0;-1191222,916;3,10653E+11;;;;237;0,987606043;0,000632497;0,575795824;-0,127797977;-167,2243561;-2452,866168
;;238;0,527856;0,00649869;0,765343;-0,0327743;-53,6217;-194,534;;;;238;0,987527;0,000632529;0,575693;-0,127874;-167,208;-2453,87;;;;238;0,08720002;3,01513E-07;1;0;-1240606,305;3,59066E+11;;;;238;0,987514246;0,000633842;0,575761009;-0,127823628;-167,2141341;-2448,46794
;;239;0,526969;0,00646031;0,766028;-0,0325646;-53,4575;-194,532;;;;239;0,987435;0,000633839;0,575659;-0,127899;-167,198;-2449,59;;;;239;0,087200009;2,71666E-07;1;0;-1292035,447;4,15023E+11;;;;239;0,987422273;0,00063517;0,575726883;-0,127848776;-167,2038494;-2444,13877
;;240;0,526086;0,00642226;0,766711;-0,0323563;-53,2938;-194,531;;;;240;0,987343;0,000635133;0,575625;-0,127924;-167,187;-2445,38;;;;240;0,087199999;2,44774E-07;1;0;-1345595,086;4,79702E+11;;;;240;0,987330129;0,000636482;0,57569344;-0,127873423;-167,1935026;-2439,877642
;;241;0,525209;0,00638453;0,767392;-0,0321496;-53,1307;-194,529;;;;241;0,987251;0,00063641;0,575592;-0,127948;-167,177;-2441,24;;;;241;0,08719999;2,20543E-07;1;0;-1401373,48;5,5446E+11;;;;241;0,987237815;0,000637777;0,575660674;-0,127897574;-167,1830946;-2435,683557
;;242;0,524337;0,00634711;0,76807;-0,0319443;-52,9682;-194,528;;;;242;0,987159;0,00063767;0,57556;-0,127972;-167,166;-2437,17;;;;242;0,087199981;1,98711E-07;1;0;-1459462,541;6,40868E+11;;;;242;0,987145334;0,000639056;0,57562858;-0,127921233;-167,1726259;-2431,555532
;;243;0,52347;0,00631;0,768747;-0,0317405;-52,8063;-194,527;;;;243;0,987067;0,000638914;0,575528;-0,127996;-167,156;-2433,16;;;;243;0,087199974;1,79041E-07;1;0;-1519957,988;7,40743E+11;;;;243;0,987052687;0,000640319;0,575597151;-0,127944405;-167,1620974;-2427,4926
;;244;0,522608;0,0062732;0,769421;-0,0315381;-52,645;-194,525;;;;244;0,986974;0,000640142;0,575497;-0,128019;-167,145;-2429,22;;;;244;0,087199968;1,61317E-07;1;0;-1582959,507;8,56183E+11;;;;244;0,986959877;0,000641565;0,575566383;-0,127967092;-167,1515097;-2423,493811
;;245;0,521751;0,0062367;0,770092;-0,0313372;-52,4843;-194,524;;;;245;0,986881;0,000641353;0,575466;-0,128041;-167,134;-2425,34;;;;245;0,087199962;1,45348E-07;1;0;-1648570,911;9,89613E+11;;;;245;0,986866906;0,000642796;0,575536269;-0,1279893;-167,1408634;-2419,55823
;;246;0,520899;0,0062005;0,770762;-0,0311377;-52,3241;-194,523;;;;246;0,986788;0,000642548;0,575436;-0,128063;-167,124;-2421,53;;;;246;0,087199956;1,3096E-07;1;0;-1716900,314;1,14384E+12;;;;246;0,986773777;0,00064401;0,575506803;-0,128011033;-167,1301594;-2415,684936
;;247;0,520052;0,0061646;0,771429;-0,0309397;-52,1645;-194,521;;;;247;0,986695;0,000643727;0,575407;-0,128085;-167,113;-2417,77;;;;247;0,087199952;1,17996E-07;1;0;-1788060,311;1,3221E+12;;;;247;0,986680491;0,000645209;0,575477981;-0,128032294;-167,1193982;-2411,873024
;;248;0,519209;0,00612899;0,772094;-0,030743;-52,0054;-,195;;;;248;0,986602;0,00064489;0,575378;-0,128106;-167,102;-2414,08;;;;248;0,087199947;1,06316E-07;1;0;-1862168,158;1,52813E+12;;;;248;0,986587051;0,000646392;0,575449796;-0,128053087;-167,1085806;-2408,121604
;;249;0,518372;0,00609367;0,772757;-0,0305478;-51,847;-194,519;;;;249;0,986509;0,000646037;0,57535;-0,128126;-167,091;-2410,45;;;;249;0,087199943;9,57914E-08;1;0;-1939345,97;1,76628E+12;;;;249;0,986493459;0,000647559;0,575422242;-0,128073416;-167,0977072;-2404,4298
;;250;0,517539;0,00605864;0,773417;-0,0303539;-51,6891;-194,518;;;;250;0,986415;0,000647169;0,575323;-0,128147;-,167;-2406,88;;;;250;0,08719994;8,63089E-08;1;0;-2019720,921;2,04155E+12;;;;250;0,986399716;0,00064871;0,575395315;-0,128093285;-167,0867787;-2400,796748
;;251;0,51671;0,0060239;0,774075;-0,0301614;-51,5317;-194,516;;;;251;0,986322;0,000648284;0,575296;-0,128166;-167,069;-2403,37;;;;251;0,087199937;7,77651E-08;1;0;-2103425,45;2,35971E+12;;;;251;0,986305826;0,000649846;0,575369009;-0,128112698;-167,0757958;-2397,221602
;;252;0,515887;0,00598943;0,774732;-0,0299702;-51,3749;-194,515;;;;252;0,986228;0,000649384;0,57527;-0,128186;-167,058;-2399,91;;;;252;0,087199934;7,00671E-08;1;0;-2190597,486;2,72745E+12;;;;252;0,98621179;0,000650967;0,575343318;-0,128131659;-167,0647591;-2393,703525
;;253;0,515068;0,00595525;0,775385;-0,0297805;-51,2187;-194,514;;;;253;0,986134;0,000650468;0,575244;-0,128205;-167,047;-2396,51;;;;253;0,087199931;6,31311E-08;1;0;-2281380,671;3,1525E+12;;;;253;0,98611761;0,000652072;0,575318237;-0,128150172;-167,0536692;-2390,241696
;;254;0,514253;0,00592134;0,776037;-0,029592;-51,063;-194,513;;;;254;0,98604;0,000651537;0,575219;-0,128223;-167,035;-2393,17;;;;254;0,087199929;5,68817E-08;1;0;-2375924,594;3,6438E+12;;;;254;0,986023289;0,000653163;0,575293761;-0,128168241;-167,0425268;-2386,835306
;;255;0,513443;0,0058877;0,776687;-0,0294049;-50,9079;-194,511;;;;255;0,985946;0,00065259;0,575195;-0,128241;-167,024;-2389,89;;;;255;0,087199927;5,12509E-08;1;0;-2474385,045;4,21166E+12;;;;255;0,985928828;0,000654238;0,575269884;-0,128185869;-167,0313326;-2383,483558
;;256;0,512638;0,00585433;0,777334;-0,0292191;-50,7533;-,195;;;;256;0,985851;0,000653629;0,575171;-0,128259;-167,013;-2386,65;;;;256;0,087199925;4,61775E-08;1;0;-2576924,265;4,86801E+12;;;;256;0,985834229;0,000655298;0,5752466;-0,12820306;-167,0200872;-2380,18567
;;257;0,511837;0,00582122;0,77798;-0,0290346;-50,5993;-194,509;;;;257;0,985757;0,000654652;0,575148;-0,128276;-167,001;-2383,48;;;;257;0,087199923;4,16064E-08;1;0;-2683711,216;5,62666E+12;;;;257;0,985739495;0,000656343;0,575223906;-0,128219818;-167,0087912;-2376,940869
;;258;0,511041;0,00578838;0,778623;-0,0288514;-50,4458;-194,508;;;;258;0,985662;0,00065566;0,575125;-0,128293;-,167;-2380,35;;;;258;0,087199922;3,74877E-08;1;0;-2794921,86;6,50353E+12;;;;258;0,985644627;0,000657374;0,575201794;-0,128236147;-166,9974452;-2373,748397
;;259;0,510249;0,0057558;0,779264;-0,0286694;-50,2928;-194,507;;;;259;0,985568;0,000656653;0,575103;-0,128309;-166,978;-2377,28;;;;259;0,08719992;3,37768E-08;1;0;-2910739,449;7,51706E+12;;;;259;0,985549628;0,00065839;0,575180261;-0,128252051;-166,9860499;-2370,607504
;;260;0,509461;0,00572348;0,779903;-0,0284888;-50,1404;-194,505;;;;260;0,985473;0,000657631;0,575082;-0,128325;-166,967;-2374,26;;;;260;0,087199919;3,04332E-08;1;0;-3031354,822;8,68854E+12;;;;260;0,985454499;0,000659391;0,575159301;-0,128267532;-166,9746059;-2367,517456
;;261;0,508678;0,00569141;0,78054;-0,0283094;-49,9885;-194,504;;;;261;0,985378;0,000658595;0,575061;-0,12834;-166,955;-2371,29;;;;261;0,087199918;2,74206E-08;1;0;-3156966,729;1,00426E+13;;;;261;0,985359243;0,000660378;0,575138909;-0,128282596;-166,9631137;-2364,477527
;;262;0,507899;0,00565959;0,781174;-0,0281313;-49,8371;-194,503;;;;262;0,985283;0,000659544;0,57504;-0,128356;-166,944;-2368,37;;;;262;0,087199917;2,47062E-08;1;0;-3287782,149;1,16076E+13;;;;262;0,985263861;0,00066135;0,575119079;-0,128297245;-166,951574;-2361,487002
;;263;0,507124;0,00562803;0,781807;-0,0279544;-49,6863;-194,502;;;;263;0,985187;0,000660478;0,57502;-0,12837;-166,932;-2365,51;;;;263;0,087199916;2,22605E-08;1;0;-3424016,637;1,34166E+13;;;;263;0,985168356;0,000662308;0,575099807;-0,128311483;-166,9399874;-2358,54518
;;264;0,506354;0,00559671;0,782438;-0,0277787;-49,536;-194,501;;;;264;0,985092;0,000661398;0,575001;-0,128385;-,167;-2362,69;;;;264;0,087199915;2,00569E-08;1;0;-3565894,677;1,55075E+13;;;;264;0,985072729;0,000663253;0,575081088;-0,128325314;-166,9283545;-2355,651367
;;265;0,505588;0,00556564;0,783066;-0,0276043;-49,3863;-,195;;;;265;0,984997;0,000662304;0,574982;-0,128399;-166,908;-2359,92;;;;265;0,087199915;1,80714E-08;1;0;-3713650,052;1,79242E+13;;;;265;0,984976982;0,000664183;0,575062916;-0,128338741;-166,9166759;-2352,804882
;;266;0,504826;0,0055348;0,783692;-0,0274311;-49,237;-194,498;;;;266;0,984901;0,000663195;0,574964;-0,128412;-166,897;-2357,19;;;;266;0,087199914;1,62825E-08;1;0;-3867526,228;2,07176E+13;;;;266;0,984881116;0,000665099;0,575045287;-0,128351768;-166,9049521;-2350,005053
;;267;0,504068;0,00550421;0,784317;-0,027259;-49,0883;-194,497;;;;267;0,984805;0,000664072;0,574946;-0,128425;-166,885;-2354,52;;;;267;0,087199913;1,46707E-08;1;0;-4027776,76;2,39463E+13;;;;267;0,984785135;0,000666001;0,575028196;-0,128364399;-166,8931838;-2347,251219
;;268;0,503314;0,00547385;0,784939;-0,0270882;-48,9401;-194,496;;;;268;0,98471;0,000664936;0,574929;-0,128438;-166,873;-2351,89;;;;268;0,087199913;1,32184E-08;1;0;-4194665,704;2,76781E+13;;;;268;0,98468904;0,00066689;0,575011638;-0,128376636;-166,8813715;-2344,542727
;;269;0,502564;0,00544373;0,785559;-0,0269186;-48,7924;-194,495;;;;269;0,984614;0,000665785;0,574912;-0,12845;-166,861;-2349,3;;;;269;0,087199912;1,19099E-08;1;0;-4368468,053;3,19916E+13;;;;269;0,984592832;0,000667765;0,574995608;-0,128388484;-166,8695158;-2341,878935
;;270;0,501819;0,00541384;0,786178;-0,0267501;-48,6452;-194,494;;;;270;0,984518;0,000666621;0,574896;-0,128462;-166,849;-2346,76;;;;270;0,087199912;1,0731E-08;1;0;-4549470,195;3,69772E+13;;;;270;0,984496514;0,000668627;0,574980102;-0,128399946;-166,8576172;-2339,259212
;;271;0,501077;0,00538418;0,786794;-0,0265828;-48,4985;-194,493;;;;271;0,984421;0,000667443;0,57488;-0,128474;-166,837;-2344,27;;;;271;0,087199911;9,66869E-09;1;0;-4737970,379;4,27399E+13;;;;271;0,984400086;0,000669475;0,574965114;-0,128411026;-166,8456763;-2336,682933
;;272;0,500339;0,00535475;0,787408;-0,0264167;-48,3524;-194,492;;;;272;0,984325;0,000668251;0,574865;-0,128485;-166,825;-2341,82;;;;272;0,087199911;8,71157E-09;1;0;-4934279,21;4,94006E+13;;;;272;0,984303552;0,00067031;0,574950639;-0,128421726;-166,8336937;-2334,149485
