Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;370;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;370;0,974552197;0,000704899;0,5754123;-45,06433414;-165,5306717;-2220,846618
;371;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;371;0,974451464;0,000704929;0,5754313;-45,19240081;-165,5166796;-2220,513584
;372;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;372;0,974350731;0,000704956;0,5754508;-45,32045322;-165,5026838;-2220,18855
;373;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;373;0,974249998;0,00070498;0,5754702;-45,44849119;-165,4886847;-2219,871305
;374;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;374;0,974149266;0,000704999;0,5754901;-45,57651458;-165,4746823;-2219,56164
;375;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;375;0,974048534;0,000705016;0,57551;-45,70452322;-165,4606771;-2219,259346
;376;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;376;0,973947804;0,000705029;0,5755303;-45,83251695;-165,4466692;-2218,964215
;377;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;377;0,973847075;0,000705039;0,5755507;-45,96049561;-165,432659;-2218,676042
;378;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;378;0,973746348;0,000705045;0,5755713;-46,08845905;-165,4186467;-2218,394619
;379;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;379;0,973645623;0,000705049;0,5755922;-46,2164071;-165,4046326;-2218,119742
;380;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;380;0,973544902;0,000705049;0,5756133;-46,34433962;-165,3906168;-2217,851208
;381;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;381;0,973444183;0,000705046;0,5756346;-46,47225644;-165,3765998;-2217,588812
;382;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;382;0,973343468;0,000705041;0,575656;-46,60015742;-165,3625816;-2217,332351
;383;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;383;0,973242757;0,000705033;0,5756778;-46,72804239;-165,3485627;-2217,081625
;384;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;384;0,97314205;0,000705022;0,5756997;-46,85591121;-165,3345433;-2216,836431
;385;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;385;0,973041347;0,000705008;0,5757218;-46,98376373;-165,3205235;-2216,596569
;386;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;386;0,972940649;0,000704992;0,5757441;-47,11159979;-165,3065037;-2216,361839
;387;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;387;0,972839956;0,000704973;0,5757667;-47,23941923;-165,2924841;-2216,132041
;388;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;388;0,972739269;0,000704951;0,5757894;-47,36722192;-165,278465;-2215,906977
;389;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;389;0,972638587;0,000704928;0,5758124;-47,4950077;-165,2644466;-2215,686447
;390;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;390;0,972537911;0,000704902;0,5758356;-47,62277643;-165,2504292;-2215,470254
;391;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;391;0,972437241;0,000704873;0,5758588;-47,75052794;-165,2364131;-2215,258201
;392;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;392;0,972336577;0,000704843;0,5758825;-47,87826211;-165,2223984;-2215,050089
;393;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;393;0,97223592;0,00070481;0,5759062;-48,00597877;-165,2083855;-2214,845722
;394;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;394;0,97213527;0,000704776;0,5759302;-48,13367778;-165,1943745;-2214,644905
;395;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;395;0,972034627;0,000704739;0,5759544;-48,261359;-165,1803658;-2214,447439
;396;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;396;0,971933991;0,0007047;0,5759787;-48,38902228;-165,1663596;-2214,25313
;397;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;397;0,971833363;0,00070466;0,5760033;-48,51666747;-165,1523562;-2214,061782
;398;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;398;0,971732742;0,000704618;0,5760281;-48,64429443;-165,1383557;-2213,873199
;399;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;399;0,97163213;0,000704574;0,576053;-48,77190302;-165,1243585;-2213,687185
;400;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;400;0,971531525;0,000704529;0,5760782;-48,89949308;-165,1103648;-2213,503547
;401;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;401;0,971430928;0,000704482;0,5761036;-49,02706448;-165,0963748;-2213,322088
;402;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;402;0,97133034;0,000704433;0,5761291;-49,15461708;-165,0823889;-2213,142613
;403;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;403;0,97122976;0,000704383;0,5761549;-49,28215072;-165,0684072;-2212,964929
;404;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;404;0,971129189;0,000704332;0,5761808;-49,40966526;-165,05443;-2212,788838
;405;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;405;0,971028626;0,00070428;0,576207;-49,53716057;-165,0404575;-2212,614148
;406;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;406;0,970928072;0,000704226;0,5762334;-49,6646365;-165,02649;-2212,440662
;407;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;407;0,970827527;0,000704171;0,5762599;-49,79209291;-165,0125279;-2212,268185
;408;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;408;0,970726991;0,000704115;0,5762866;-49,91952965;-164,9985712;-2212,096523
;409;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;409;0,970626464;0,000704058;0,5763136;-50,04694659;-164,9846202;-2211,925479
;410;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;410;0,970525947;0,000704;0,5763407;-50,17434358;-164,9706753;-2211,754858
;411;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;411;0,970425438;0,000703941;0,576368;-50,30172047;-164,9567366;-2211,584465
;412;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;412;0,970324939;0,000703882;0,5763956;-50,42907714;-164,9428045;-2211,414104
;413;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;413;0,970224449;0,000703822;0,5764233;-50,55641343;-164,9288791;-2211,243577
;414;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;414;0,970123968;0,000703761;0,5764512;-50,6837292;-164,9149607;-2211,072689
;415;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;415;0,970023497;0,000703699;0,5764794;-50,81102432;-164,9010497;-2210,901243
;416;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;416;0,969923035;0,000703637;0,5765076;-50,93829864;-164,8871461;-2210,729041
;417;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;417;0,969822583;0,000703574;0,5765362;-51,06555202;-164,8732503;-2210,555885
;418;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;418;0,96972214;0,000703511;0,5765649;-51,19278432;-164,8593626;-2210,381578
;419;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;419;0,969621706;0,000703448;0,5765937;-51,3199954;-164,8454831;-2210,205921
;420;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;420;0,969521281;0,000703385;0,5766229;-51,44718511;-164,8316123;-2210,028715
;421;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;421;0,969420866;0,000703321;0,5766521;-51,57435331;-164,8177502;-2209,84976
;422;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;422;0,96932046;0,000703257;0,5766817;-51,70149986;-164,8038972;-2209,668856
;423;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;423;0,969220063;0,000703193;0,5767113;-51,82862462;-164,7900535;-2209,485803
;424;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;424;0,969119676;0,000703129;0,5767412;-51,95572745;-164,7762194;-2209,300399
;425;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;425;0,969019297;0,000703065;0,5767713;-52,0828082;-164,7623951;-2209,112441
;426;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;426;0,968918927;0,000703002;0,5768016;-52,20986674;-164,748581;-2208,921728
;427;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;427;0,968818566;0,000702938;0,5768321;-52,33690291;-164,7347772;-2208,728057
;428;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;428;0,968718214;0,000702875;0,5768627;-52,46391657;-164,7209841;-2208,531222
;429;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;429;0,968617871;0,000702812;0,5768936;-52,59090759;-164,7072018;-2208,331019
;430;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;430;0,968517536;0,00070275;0,5769247;-52,71787581;-164,6934308;-2208,127242
;431;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;431;0,96841721;0,000702688;0,576956;-52,84482109;-164,6796712;-2207,919685
;432;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;432;0,968316892;0,000702626;0,5769875;-52,97174329;-164,6659232;-2207,708141
;433;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;433;0,968216581;0,000702566;0,5770191;-53,09864226;-164,6521873;-2207,4924
;434;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;434;0,968116279;0,000702506;0,5770511;-53,22551786;-164,6384636;-2207,272255
;435;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;435;0,968015985;0,000702446;0,5770831;-53,35236994;-164,6247524;-2207,047494
;436;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;436;0,967915698;0,000702388;0,5771154;-53,47919835;-164,6110539;-2206,817907
;437;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;437;0,967815418;0,00070233;0,577148;-53,60600295;-164,5973686;-2206,583281
;438;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;438;0,967715146;0,000702274;0,5771806;-53,73278359;-164,5836966;-2206,343404
;439;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;439;0,967614881;0,000702218;0,5772135;-53,85954012;-164,5700382;-2206,09806
;440;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;440;0,967514622;0,000702164;0,5772467;-53,98627238;-164,5563937;-2205,847034
;441;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;441;0,96741437;0,000702111;0,57728;-54,11298024;-164,5427634;-2205,59011
;442;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;442;0,967314124;0,000702059;0,5773136;-54,23966355;-164,5291476;-2205,32707
;443;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;443;0,967213884;0,000702008;0,5773473;-54,36632214;-164,5155465;-2205,057694
;444;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;444;0,96711365;0,000701959;0,5773812;-54,49295587;-164,5019604;-2204,781763
;445;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;445;0,967013421;0,000701912;0,5774154;-54,61956459;-164,4883897;-2204,499055
;446;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;446;0,966913197;0,000701866;0,5774499;-54,74614814;-164,4748346;-2204,209347
;447;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;447;0,966812978;0,000701821;0,5774844;-54,87270638;-164,4612953;-2203,912415
;448;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;448;0,966712764;0,000701778;0,5775192;-54,99923914;-164,4477723;-2203,608033
;449;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;449;0,966612554;0,000701737;0,5775543;-55,12574627;-164,4342658;-2203,295975
;450;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;450;0,966512348;0,000701698;0,5775895;-55,25222761;-164,420776;-2202,976011
;451;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;451;0,966412145;0,000701661;0,5776251;-55,37868301;-164,4073034;-2202,647911
;452;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;452;0,966311946;0,000701626;0,5776607;-55,50511231;-164,3938482;-2202,311445
;453;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;453;0,966211749;0,000701592;0,5776966;-55,63151534;-164,3804106;-2201,966379
;454;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;454;0,966111555;0,000701561;0,5777328;-55,75789196;-164,3669911;-2201,612479
;455;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;455;0,966011363;0,000701533;0,5777691;-55,88424199;-164,3535899;-2201,249508
;456;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;456;0,965911172;0,000701506;0,5778058;-56,01056528;-164,3402073;-2200,877229
;457;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;457;0,965810983;0,000701482;0,5778426;-56,13686165;-164,3268437;-2200,495402
;458;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;458;0,965710794;0,00070146;0,5778796;-56,26313096;-164,3134993;-2200,103785
;459;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;459;0,965610606;0,000701441;0,577917;-56,38937303;-164,3001745;-2199,702136
;460;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;460;0,965510418;0,000701425;0,5779544;-56,51558769;-164,2868697;-2199,29021
;461;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;461;0,96541023;0,000701411;0,5779922;-56,64177478;-164,273585;-2198,86776
;462;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;462;0,96531004;0,0007014;0,5780303;-56,76793412;-164,2603209;-2198,434538
;463;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;463;0,965209849;0,000701392;0,5780684;-56,89406555;-164,2470777;-2197,990294
;464;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;464;0,965109656;0,000701386;0,578107;-57,0201689;-164,2338557;-2197,534775
;465;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;465;0,96500946;0,000701384;0,5781456;-57,14624399;-164,2206553;-2197,067726
;466;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;466;0,964909261;0,000701385;0,5781847;-57,27229064;-164,2074768;-2196,588893
;467;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;467;0,964809059;0,000701389;0,5782238;-57,39830869;-164,1943205;-2196,098016
;468;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;468;0,964708853;0,000701396;0,5782634;-57,52429794;-164,1811868;-2195,594835
;469;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;469;0,964608642;0,000701407;0,578303;-57,65025823;-164,1680761;-2195,079087
;470;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;470;0,964508426;0,000701421;0,578343;-57,77618938;-164,1549886;-2194,550509
;471;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;471;0,964408204;0,000701439;0,5783833;-57,9020912;-164,1419248;-2194,008833
;472;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;472;0,964307976;0,00070146;0,5784237;-58,0279635;-164,128885;-2193,453791
;473;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;473;0,96420774;0,000701485;0,5784645;-58,1538061;-164,1158696;-2192,885112
;474;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;474;0,964107497;0,000701514;0,5785055;-58,27961882;-164,1028788;-2192,302522
;475;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;475;0,964007246;0,000701547;0,5785468;-58,40540147;-164,0899132;-2191,705744
;476;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;476;0,963906986;0,000701583;0,5785884;-58,53115385;-164,0769731;-2191,094503
;477;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;477;0,963806716;0,000701624;0,5786301;-58,65687578;-164,0640589;-2190,468516
;478;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;478;0,963706436;0,000701669;0,5786723;-58,78256705;-164,0511708;-2189,827501
;479;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;479;0,963606145;0,000701718;0,5787146;-58,90822748;-164,0383094;-2189,171172
;480;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;480;0,963505843;0,000701771;0,5787573;-59,03385686;-164,0254751;-2188,499243
;481;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;481;0,963405528;0,000701829;0,5788002;-59,159455;-164,0126681;-2187,811422
;482;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;482;0,963305199;0,000701892;0,5788434;-59,28502169;-163,9998889;-2187,107417
;483;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;483;0,963204857;0,000701959;0,5788869;-59,41055673;-163,9871379;-2186,386933
;484;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;484;0,963104501;0,000702031;0,5789307;-59,53605992;-163,9744156;-2185,64967
;485;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;485;0,963004128;0,000702107;0,5789748;-59,66153104;-163,9617223;-2184,895329
;486;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;486;0,96290374;0,000702189;0,5790192;-59,78696989;-163,9490584;-2184,123606
;487;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;487;0,962803334;0,000702276;0,5790639;-59,91237625;-163,9364244;-2183,334195
;488;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;488;0,962702911;0,000702367;0,5791089;-60,03774991;-163,9238206;-2182,526787
;489;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;489;0,962602469;0,000702464;0,5791541;-60,16309064;-163,9112476;-2181,70107
;490;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;490;0,962502007;0,000702567;0,5791998;-60,28839825;-163,8987057;-2180,85673
;491;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;491;0,962401525;0,000702675;0,5792457;-60,41367249;-163,8861954;-2179,993449
;492;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;492;0,962301022;0,000702788;0,5792919;-60,53891315;-163,8737172;-2179,110907
;493;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;493;0,962200496;0,000702907;0,5793385;-60,66411999;-163,8612714;-2178,208779
;494;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;494;0,962099947;0,000703032;0,5793854;-60,7892928;-163,8488586;-2177,286741
;495;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;495;0,961999374;0,000703163;0,5794326;-60,91443134;-163,8364792;-2176,344463
;496;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;496;0,961898775;0,000703299;0,5794801;-61,03953537;-163,8241336;-2175,381612
;497;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;497;0,961798151;0,000703442;0,5795281;-61,16460465;-163,8118224;-2174,397852
;498;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;498;0,9616975;0,000703591;0,5795762;-61,28963896;-163,799546;-2173,392845
;499;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;499;0,96159682;0,000703747;0,5796248;-61,41463804;-163,7873048;-2172,36625
;500;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;500;0,961496111;0,000703909;0,5796737;-61,53960165;-163,7750995;-2171,317721
;501;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;501;0,961395372;0,000704078;0,579723;-61,66452954;-163,7629304;-2170,24691
;502;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;502;0,961294602;0,000704253;0,5797726;-61,78942146;-163,7507981;-2169,153465
;503;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;503;0,961193799;0,000704435;0,5798226;-61,91427715;-163,7387031;-2168,037032
;504;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;504;0,961092963;0,000704624;0,5798729;-62,03909637;-163,7266459;-2166,897252
;505;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;505;0,960992092;0,000704821;0,5799237;-62,16387884;-163,714627;-2165,733764
;506;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;506;0,960891186;0,000705024;0,5799747;-62,28862431;-163,702647;-2164,546203
;507;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;507;0,960790242;0,000705235;0,5800262;-62,4133325;-163,6907063;-2163,3342
;508;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;508;0,96068926;0,000705453;0,5800781;-62,53800315;-163,6788055;-2162,097384
;509;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;509;0,960588239;0,00070568;0,5801303;-62,66263599;-163,6669452;-2160,835379
;510;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;510;0,960487177;0,000705913;0,580183;-62,78723073;-163,6551259;-2159,547806
;511;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;511;0,960386073;0,000706155;0,5802359;-62,9117871;-163,6433481;-2158,234283
;512;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;512;0,960284927;0,000706405;0,5802895;-63,03630481;-163,6316125;-2156,894423
;513;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;513;0,960183735;0,000706663;0,5803433;-63,16078358;-163,6199197;-2155,527836
;514;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;514;0,960082498;0,000706929;0,5803975;-63,28522312;-163,6082701;-2154,13413
;515;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;515;0,959981214;0,000707204;0,5804522;-63,40962312;-163,5966643;-2152,712907
;516;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;516;0,959879881;0,000707488;0,5805074;-63,53398329;-163,5851031;-2151,263765
;517;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;517;0,959778498;0,00070778;0,5805629;-63,65830333;-163,5735869;-2149,786301
;518;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;518;0,959677064;0,000708082;0,5806188;-63,78258294;-163,5621165;-2148,280105
;519;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;519;0,959575577;0,000708392;0,5806753;-63,90682179;-163,5506923;-2146,744766
;520;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;520;0,959474035;0,000708712;0,5807321;-64,03101959;-163,5393151;-2145,179867
;521;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;521;0,959372438;0,000709041;0,5807895;-64,155176;-163,5279855;-2143,584988
;522;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;522;0,959270784;0,00070938;0,5808473;-64,2792907;-163,5167041;-2141,959704
;523;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;523;0,959169071;0,000709728;0,5809055;-64,40336338;-163,5054716;-2140,303588
;524;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;524;0,959067297;0,000710087;0,5809642;-64,52739369;-163,4942886;-2138,616208
;525;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;525;0,958965461;0,000710455;0,5810235;-64,6513813;-163,4831559;-2136,897128
;526;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;526;0,958863561;0,000710834;0,5810831;-64,77532587;-163,472074;-2135,145907
;527;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;527;0,958761597;0,000711224;0,5811434;-64,89922706;-163,4610438;-2133,362102
;528;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;528;0,958659565;0,000711624;0,581204;-65,02308451;-163,4500658;-2131,545265
;529;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;529;0,958557464;0,000712035;0,5812652;-65,14689787;-163,4391409;-2129,694942
;530;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;530;0,958455292;0,000712457;0,5813269;-65,27066678;-163,4282696;-2127,810678
;531;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;531;0,958353049;0,00071289;0,5813892;-65,39439087;-163,4174529;-2125,892012
;532;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;532;0,958250731;0,000713335;0,5814519;-65,51806978;-163,4066913;-2123,938479
;533;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;533;0,958148337;0,000713791;0,5815153;-65,64170313;-163,3959856;-2121,94961
;534;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;534;0,958045866;0,000714259;0,581579;-65,76529055;-163,3853367;-2119,924932
;535;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;535;0,957943314;0,00071474;0,5816435;-65,88883164;-163,3747452;-2117,863967
;536;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;536;0,957840681;0,000715232;0,5817084;-66,01232601;-163,364212;-2115,766234
;537;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;537;0,957737964;0,000715737;0,5817739;-66,13577327;-163,3537379;-2113,631246
